id_softwerk;COD PRODUCTO;NOMBRE PRODUCTO
8115;495;BUTTERFLY Nº 25
2993;SANUP-59;CAMA ELECTRICA (SA) RESP FORMICA CROMADO
8985;5825;CAMARA PARA TERMOHUMIDIFICADOR
8005;9101;CAMISOLIN
8987;CAMP ESTE;CAMPO ESTERIL
8168;7409;CAMPO ESTERIL KOLER CQ-58
10401;10401;CANULA 11 DE TRAQUEOTOMIA RUSCH CON BALON
15830;5051;CANULA 2.5 SIN BALÓN
10402;10402;CANULA 3.0 CON BALON AURINCO
8773;2010;CANULA 3.0 CON BALON SHILEY
10403;10403;CANULA 3.0 CON BALON WELL LEAD
8249;218;CANULA 3.0 SIN BALON AURINCO
8250;219;CANULA 3.0 SIN BALON SHILEY
10404;10404;CANULA 3.0 SIN BALON WELL LEAD
10405;10405;CANULA 3.5 CON BALON AURINCO
8774;2011;CANULA 3.5 CON BALON SHILEY
10406;10406;CANULA 3.5 CON BALON WELL LEAD
10407;10407;CANULA 3.5 SIN BALON AURINCO
8775;2012;CANULA 3.5 SIN BALON SHILEY
14656;11050;CANULA 3.5 SIN BALON SHILEY NEONATAL
10408;10408;CANULA 3.5 SIN BALON WELL LEAD
8147;7385;CANULA 3.5 TIPO SILMAG
10409;10409;CANULA 3.5 TRAQUEOTOMIA PORTEX SIN BALON
8952;4840;CANULA 4.0 CON BALON AURINCO
8821;9615;CÁNULA 4.0 CON BALON SHILEY
10410;10410;CANULA 4.0 CON BALON WELL LEAD
7311;7311;CANULA 4.0 SIN BALON AURINCO
7546;7362;CANULA 4.0 SIN BALON SHILEY
14657;11051;CANULA 4.0 SIN BALON SHILEY NEONATAL
10411;10411;CANULA 4.0 SIN BALON WELL LEAD
8299;7449;CANULA 4.5 CON BALON AURINCO
10412;10412;CANULA 4.5 CON BALON WELL LEAD
8190;4845;CANULA 4.5 PDC CON BALON SHILEY
10413;10413;CANULA 4.5 SIN BALON AURINCO
7553;7363;CANULA 4.5 SIN BALON SHILEY
10414;10414;CANULA 4.5 SIN BALON WELL LEAD
8154;7393;CANULA 5.0 C/VALVULA FONATORIA Y CAMISA AURINCO
10415;10415;CANULA 5.0 CON BALON AURINCO
7679;9014;CANULA 5.0 CON BALON SHIELY
10416;10416;CANULA 5.0 CON BALON WELL LEAD
10417;10417;CANULA 5.0 SIN BALON AURINCO
