Cód. Producto;Producto;costo;ultima actualizacion de precio
INSU 1019;APOSITO NO ADHESIVO P/TQT (HONY) 10 CMX10CM;0.00;19/12/2025
INSU 1021;APOSITO NO ADHESIVO P/TQT (HONY) 5CMX5CM;0.00;19/12/2025
10800;Aposito no adhesivo p/tqt (yatho) 10x10;1,236.00;19/12/2025
11941;APOSITO NO ADHESIVO PARA TRAQUEOTOMIA 5X5 CM (YAFHO);564.44;19/12/2025
7353;APOSITO NO ESTERIL   8 X 20 ;0.00;19/12/2025
482;APÓSITO NO ESTERIL  10 X 20 ;177.98;19/12/2025
9105;APOSITO NO ESTERIL  15 X 20  ;270.92;19/12/2025
D-09;APOSITO NO ESTERIL 10 X 20;177.98;19/12/2025
TEGA;APOSITO TEGADERM 10 X 10;0.00;19/12/2025
APOTE;APOSITO TEGADERM 10x12;2,242.10;19/12/2025
198;APÓSITO TEGADERM 10X12;2,176.88;19/12/2025
10565;APOSITO TEGADERM 15x20;0.00;19/12/2025
10711;APOSITO TEGADERM 20X30;0.00;19/12/2025
D-10;APOSITO TEGADERM 6 X 7;0.00;19/12/2025
197;APÓSITO TEGADERM 7X5;3,347.56;19/12/2025
12058;APOSITO TIPO TEGADERM 15X20;0.00;19/12/2025
9010;APOSITO TIPO TERGADERM 6X7;259.56;19/12/2025
196;APÓSITO TRANSPARENTE VECA;0.00;19/12/2025
KEN;APOSITO ULTEC PRO15X15 KENDALL 9802;0.00;19/12/2025
DUO;APOSITOS DUODERM 10 X 15;0.00;19/12/2025
8956;APOSITOS DUODERM 10X10;2,701.14;19/12/2025
7303;APOSITOS ESTERILES 10 X 10 ;0.00;19/12/2025
10209;APOSITOS INCONTINENCIA MODERADA COMODIN ADULTO;292.84;19/12/2025
7304;APOSITOS NO ESTERILES 10 X 10 ;0.00;19/12/2025
9121;APOSITOS TEGADERM 8 X 10 CM;0.00;19/12/2025
LIB 112;Aprieta papeles 19mm;0.00;19/12/2025
LIB 113;Aprieta papeles 25mm;0.00;19/12/2025
LIB 114;Aprieta papeles 32mm;0.00;19/12/2025
LIB 109;Aprieta papeles 41mm;0.00;19/12/2025
LIB 115;Aprieta papeles 50mm;0.00;19/12/2025
10301;AQUAGEL FOAM NO ADHESIVO 15x15;0.00;19/12/2025
10997;ARIPIPRAZOL 20 MG X 30 COMP;0.00;19/12/2025
LIMP25;Aromatizante de ambientes 360cc;0.00;19/12/2025
LIMP 109;Aromatizante para difusor (saphirus);0.00;19/12/2025
ASIFLOSILICPSILLA;ASIENTO INFALBLE O SILICONADO PARA SILLA DE RUEDAS;0.00;23/10/2025
ASP 1;Aspirador Manual;0.00;
11002;Aspirina 100mg;0.00;19/12/2025
10820;ATROVENT IPRATROPIO 25 MG X 40 ML. MARCA BOEHRINGER INGELHEIM;0.00;19/12/2025
4513;AUTOCUIDADO ESTANDAR  PEDIATRICO NUTRIHOME;0.00;19/12/2025
AE/ADULTO;AUTOCUIDADO ESTANDAR -ADULTO;0.00;19/12/2025
4512;AUTOCUIDADO ESTANDAR ADULTO  NUTRIHOME;0.00;19/12/2025
M-01;BACLOFENO 10 MG;0.00;19/12/2025
9081;BAGOVIT AE|BAGO| EMULSIÓN X 200ML;0.00;19/12/2025
209;BAJALENGUAS DE MADERA ADULTO X100;0.00;19/12/2025
210;BAJALENGUAS DE MADERA PEDIATRICOS X100;0.00;19/12/2025
LIMP70;Balde con manija de plástico 10lt;0.00;19/12/2025
10927;BANDA ADHESIVE MULTI EXTENSIBLE;0.00;19/12/2025
LIB24;Bandas elásticas 100 gr 40 mm;0.00;19/12/2025
LIB23;Bandas elásticas 500 gr 130mm;0.00;19/12/2025
LIB3;Bandas elásticas 500 gr.;0.00;19/12/2025
LIB100;Bandeja plastica portapapeles;0.00;19/12/2025
7305;BAÑO FACIL X 10 UNIDADES;1,972.00;19/12/2025
10398;BARBIJO DE FRISELINA;0.00;19/12/2025
212;BARBIJOS DE TELA ;0.00;19/12/2025
7306;BARBIJOS DESCARTABLES;50.00;19/12/2025
10399;BARBIJOS DESCARTABLES CON TIRAS;0.00;19/12/2025
213;BARBIJOS N95;0.00;19/12/2025
10752;BATERIA EXTERNA;0.00;19/12/2025
10779;Benadril antitusivo jarabe;0.00;19/12/2025
BENA;BENADRIL COMPUESTO PEDIATRICO;0.00;19/12/2025
LIB64;Bibliorato forrado  A4, azul;0.00;19/12/2025
LIB63;Bibliorato forrado  A4, negro;0.00;19/12/2025
LIB28;Bibliorato forrado  A4, rojo;0.00;19/12/2025
LIB62;Bibliorato forrado  A4, verde;0.00;19/12/2025
10203;BICARBONATO;2,020.82;19/12/2025
214;BISTURÍ N22;0.00;19/12/2025
215;BISTURÍ N23;0.00;19/12/2025
216;BISTURÍ N24;0.00;19/12/2025
LIMP10;Blem original 360ml;0.00;19/12/2025
LIMP 129;Blem para electrodomesticos;3,816.00;23/1/2026
LIMP71;Bolsa camiseta  AD 50X60 (REF 1011050);0.00;19/12/2025
7307;BOLSA COLECTORA DE ORINA;648.30;19/12/2025
B117;BOLSA COLECTORA DE ORINA PARA PIERNA;0.00;19/12/2025
10400;BOLSA COLECTORA PEDIATRICA X200 ML;0.00;19/12/2025
LIMP 55;Bolsa de  consorcio 50x70 negra.Pack de 10 unidades;0.00;19/12/2025
LIMP5;Bolsa de  consorcio verde 45x60.Pack de 10 unidades;0.00;19/12/2025
LIMP 121;Bolsa de  consorcio verde 45x60.Pack de 20 unidades;0.00;19/12/2025
LIMP27;Bolsa de arranque  60 X 90.Rollo;0.00;19/12/2025
LIMP 122;Bolsa de arranque 15x20.Rollo;0.00;19/12/2025
LIMP26;Bolsa de arranque 30x40.Rollo;0.00;19/12/2025
LIMP31;Bolsa de arranque 50X70.Rollo;0.00;19/12/2025
BOLCOL;BOLSA DE COLOSTOMIA;0.00;19/12/2025
10930;Bolsa de colostomia Alfa-doves;0.00;19/12/2025
LIM 133;Bolsa de consorcio 45x60 negra .Pack de  10 unidades;0.00;19/12/2025
LIMP6;Bolsa de consorcio 45x60 negra .Pack de  20 unidades;0.00;19/12/2025
LIMP4;Bolsa de consorcio 60x90 negra.Pack de 10 unidades;0.00;19/12/2025
LIMP33;Bolsa de consorcio 80X110 negras.Pack de 10 unidades;0.00;19/12/2025
LIMP30;Bolsa de consorcio 90x120 negras .Pack de 10 unidades;0.00;19/12/2025
BOLRU;Bolsa de consorcio negra 90X120;0.00;19/12/2025
LIMP51;Bolsa de consorcio verde 60X90.Pack de 10 unidades;0.00;19/12/2025
01222;BOLSA DE RESIDUO ROJA X 30 UNIDADES;0.00;19/12/2025
LIMP 56;bolsa residuos 60x90;0.00;19/12/2025
LIB133;Bolsa transparente polipropileno 30x40 celofan cristal x 100;0.00;
LIMP;Bolsas de consorcio 90x120;0.00;19/12/2025
10911;Bolsas vesicales forlano 2000A;0.00;19/12/2025
LIB 101;BORRADOR PARA PIZARRA;0.00;19/12/2025
C017;BOTON GASTRICO A DEFINIR;0.00;19/12/2025
12045;botón gástrico Mic key 20 fr 2,5 cm;0.00;19/12/2025
10720;BOTON GASTRICO MIC KEY 20FR 3,5 CM;0.00;19/12/2025
10777;BOTON GASTRICO MIC-KEY 14 FR 2 CM;0.00;19/12/2025
INSU 1022;BOTÓN GÁSTRICO SILICONA 24FR 3,4CM 8MM (350-24-34);0.00;19/12/2025
LIB34;Broches abrochadora 10/50, caja de 1000 unidades;0.00;19/12/2025
LIB60;Broches abrochadora 21/6, caja de 1000 unidades;0.00;19/12/2025
LIB13;Broches abrochadora N°50;0.00;19/12/2025
LIB68;Broches N°26/6, caja de 1000 unidades;0.00;19/12/2025
LIB97;Broches nepaco;0.00;19/12/2025
10654;BT - 63;0.00;19/12/2025
1271;BUDESONIDA;0.00;19/12/2025
11007;Buscapina simple ampolla;0.00;19/12/2025
9107;BUTTERFLY 21 G;0.00;19/12/2025
217;BUTTERFLY G19;0.00;19/12/2025
12006;BUTTERFLY Nº 17;0.00;19/12/2025
496;BUTTERFLY Nº 23;0.00;19/12/2025
495;BUTTERFLY Nº 25;0.00;19/12/2025
LIMP00;Cabo/palo para escobillón o secador;0.00;19/12/2025
LIB92;Caja archivo de carton. Medidas 420x320x250mm;0.00;19/12/2025
 LIB 115;Caja archivo volcada plastica 250x360x120mm;0.00;19/12/2025
10768;CALADRIL CREMA;19,229.70;19/12/2025
LIB74;Calculadora;0.00;19/12/2025
